Product_ID,Product_Name,Supplier_Region,Supplier_Id,Lead_Time_Days,Order_Volume_Units,Cost_per_Unit,Supply_Risk_Score,Profit_Impact_Score,Environmental_Impact,Single_Source_Risk
P036,AI Chips,Africa,AI Chips_Africa,32,492,422.23,4,5,4,0
P037,Semiconductors,Asia,Semiconductors_Asia,22,927,383.45,4,4,5,0
P038,AI Chips,Africa,AI Chips_Africa,57,191,301.4,5,4,5,0
P039,Lithium Batteries,Asia,Lithium Batteries_Asia,21,249,494.55,5,4,5,0
P040,AI Chips,Asia,AI Chips_Asia,53,363,298,5,5,4,0
P041,Semiconductors,South America,Semiconductors_South America,69,368,417.83,5,4,5,0
P042,Semiconductors,Africa,Semiconductors_Africa,18,840,223.54,5,4,5,0
P043,Lithium Batteries,South America,Lithium Batteries_South America,7,850,474.56,3,4,5,0
P044,Pharma APIs,Africa,Pharma APIs_Africa,63,680,397.13,4,5,5,0
P045,Lithium Batteries,Asia,Lithium Batteries_Asia,54,193,213.8,5,5,5,0
P046,Lithium Batteries,South America,Lithium Batteries_South America,40,833,251.96,4,4,4,0
P047,Pharma APIs,Asia,Pharma APIs_Asia,8,541,387.76,3,5,5,0
P048,Lithium Batteries,Africa,Lithium Batteries_Africa,67,951,390.92,4,4,5,0
P049,Semiconductors,Africa,Semiconductors_Africa,18,676,387.78,3,3,4,0
P050,Semiconductors,South America,Semiconductors_South America,80,853,211.69,4,5,4,0
P051,AI Chips,Asia,AI Chips_Asia,42,295,278.21,5,4,5,0
P052,Lithium Batteries,Africa,Lithium Batteries_Africa,42,493,284.61,3,5,4,0
P053,AI Chips,Asia,AI Chips_Asia,29,762,374.16,5,3,5,0
P054,Lithium Batteries,Asia,Lithium Batteries_Asia,65,980,313.32,4,3,5,0
P055,Semiconductors,Africa,Semiconductors_Africa,58,332,203.25,4,5,4,0
P056,Semiconductors,Africa,Semiconductors_Africa,29,168,224.99,4,3,4,0
P057,Pharma APIs,Africa,Pharma APIs_Africa,41,141,227.36,4,3,5,0
P058,Semiconductors,South America,Semiconductors_South America,13,850,411.75,3,3,5,0
P059,AI Chips,Asia,AI Chips_Asia,89,894,221.83,3,5,5,0
P060,Pharma APIs,Asia,Pharma APIs_Asia,37,599,311.19,4,4,4,0
P061,Semiconductors,Africa,Semiconductors_Africa,51,190,367.52,4,5,5,0
P062,Lithium Batteries,Africa,Lithium Batteries_Africa,7,759,371.44,4,5,5,0
P063,Semiconductors,Asia,Semiconductors_Asia,12,290,488.65,4,4,5,0
P064,AI Chips,South America,AI Chips_South America,42,928,490.96,4,5,4,0
P065,Semiconductors,Africa,Semiconductors_Africa,60,146,222.63,5,4,4,0
P066,AI Chips,South America,AI Chips_South America,42,111,421.13,3,5,5,0
P067,AI Chips,Africa,AI Chips_Africa,23,639,268.82,5,5,5,0
P068,Lithium Batteries,South America,Lithium Batteries_South America,12,831,444.14,5,3,5,0
P069,AI Chips,South America,AI Chips_South America,11,549,374.35,5,4,5,0
P070,Semiconductors,Africa,Semiconductors_Africa,69,245,433.28,4,4,5,0
P071,Lithium Batteries,Africa,Lithium Batteries_Africa,27,560,452.64,5,3,4,0
P072,Pharma APIs,Africa,Pharma APIs_Africa,59,808,407.51,3,5,4,0
P073,Lithium Batteries,Asia,Lithium Batteries_Asia,83,184,313.36,5,4,5,0
P074,Pharma APIs,Africa,Pharma APIs_Africa,40,899,401.51,5,4,5,0
P075,AI Chips,Asia,AI Chips_Asia,63,367,356.05,5,4,4,0
P076,Lithium Batteries,South America,Lithium Batteries_South America,44,306,208.63,5,5,4,0
P077,Pharma APIs,Africa,Pharma APIs_Africa,58,197,305.18,5,5,5,0
P078,Lithium Batteries,Asia,Lithium Batteries_Asia,10,641,435.1,4,3,4,0
P079,AI Chips,South America,AI Chips_South America,72,607,347.63,5,3,5,0
P080,Lithium Batteries,Africa,Lithium Batteries_Africa,22,982,373.89,5,5,4,0
P081,Pharma APIs,Africa,Pharma APIs_Africa,67,380,408.95,4,5,4,0
P082,AI Chips,South America,AI Chips_South America,7,565,446.54,3,4,5,0
P083,Lithium Batteries,Asia,Lithium Batteries_Asia,32,645,261.9,5,4,4,0
P084,Lithium Batteries,Asia,Lithium Batteries_Asia,42,155,406.34,3,4,5,0
P085,Lithium Batteries,South America,Lithium Batteries_South America,34,791,379.18,5,4,4,0
P086,Semiconductors,Africa,Semiconductors_Africa,29,765,416.15,5,5,5,0
P087,AI Chips,Africa,AI Chips_Africa,34,373,209.14,5,3,5,0
P088,AI Chips,Asia,AI Chips_Asia,31,185,452.21,3,3,5,0
P089,Pharma APIs,South America,Pharma APIs_South America,14,245,394.65,5,5,4,0
P090,Pharma APIs,South America,Pharma APIs_South America,62,524,238.27,4,5,4,0
P091,Semiconductors,South America,Semiconductors_South America,10,388,381.73,4,5,4,0
P092,AI Chips,Africa,AI Chips_Africa,37,706,285.53,5,5,5,0
P093,Pharma APIs,Africa,Pharma APIs_Africa,57,105,499.18,5,5,5,0
P094,AI Chips,Asia,AI Chips_Asia,74,491,367.03,4,5,5,0
P095,Semiconductors,South America,Semiconductors_South America,17,239,420.87,5,3,4,0
P096,Semiconductors,South America,Semiconductors_South America,16,772,359.78,4,5,5,0
P097,Pharma APIs,Asia,Pharma APIs_Asia,81,695,405.37,4,3,4,0
P098,Semiconductors,South America,Semiconductors_South America,81,705,323.55,5,5,4,0
P099,Lithium Batteries,Asia,Lithium Batteries_Asia,20,612,313.77,5,4,5,0
P100,Pharma APIs,South America,Pharma APIs_South America,48,104,249.28,5,3,4,0
P1000,Cleaning Supplies,Asia,Cleaning Supplies_Asia,76,9018,29.98,1,3,1,1
P101,Lithium Batteries,Asia,Lithium Batteries_Asia,29,715,335.58,5,4,5,0
P102,Semiconductors,South America,Semiconductors_South America,45,324,269.66,3,5,4,0
P103,Semiconductors,Africa,Semiconductors_Africa,39,278,299.84,5,4,5,0
P104,Pharma APIs,Asia,Pharma APIs_Asia,61,256,371.95,4,5,5,0
P105,Lithium Batteries,Asia,Lithium Batteries_Asia,19,621,370.97,5,5,4,0
P106,Semiconductors,Asia,Semiconductors_Asia,74,795,337.1,3,5,4,0
P107,Pharma APIs,South America,Pharma APIs_South America,75,726,203.66,5,5,4,0
P108,Pharma APIs,Africa,Pharma APIs_Africa,18,649,472.54,4,5,5,0
P109,AI Chips,Asia,AI Chips_Asia,37,722,351.77,3,5,5,0
P110,AI Chips,Africa,AI Chips_Africa,52,561,223.2,5,4,5,0
P111,Lithium Batteries,Africa,Lithium Batteries_Africa,46,281,451.67,4,5,4,0
P112,Semiconductors,Asia,Semiconductors_Asia,41,236,216.43,4,3,5,0
P113,Semiconductors,Africa,Semiconductors_Africa,23,905,459.06,5,5,5,0
P114,Pharma APIs,Africa,Pharma APIs_Africa,39,278,335.73,4,3,5,0
P115,Lithium Batteries,Asia,Lithium Batteries_Asia,55,765,283.28,5,3,5,0
P116,Pharma APIs,Asia,Pharma APIs_Asia,57,800,225.6,4,5,5,0
P117,Semiconductors,Asia,Semiconductors_Asia,24,769,304.82,5,5,4,0
P118,Lithium Batteries,South America,Lithium Batteries_South America,57,293,335.99,5,4,5,0
P119,Semiconductors,South America,Semiconductors_South America,40,154,300.31,5,5,4,0
P120,Pharma APIs,Asia,Pharma APIs_Asia,73,899,493.68,3,5,5,0
P121,Pharma APIs,Asia,Pharma APIs_Asia,14,427,351.65,5,5,5,0
P122,AI Chips,Asia,AI Chips_Asia,20,387,496.62,4,4,5,0
P123,Semiconductors,Asia,Semiconductors_Asia,25,429,226.08,5,4,4,0
P124,Pharma APIs,Africa,Pharma APIs_Africa,8,996,411.18,4,5,4,0
P125,Semiconductors,South America,Semiconductors_South America,59,360,280.42,3,4,4,0
P126,Pharma APIs,South America,Pharma APIs_South America,87,463,492.36,5,5,5,0
P127,AI Chips,Africa,AI Chips_Africa,28,651,280.6,3,4,5,0
P128,Semiconductors,Asia,Semiconductors_Asia,24,128,239.68,5,5,4,0
P129,Pharma APIs,South America,Pharma APIs_South America,33,133,372.95,4,5,4,0
P130,Lithium Batteries,Asia,Lithium Batteries_Asia,51,709,419.66,5,5,5,0
P131,Lithium Batteries,South America,Lithium Batteries_South America,57,733,314.94,5,3,5,0
P132,Lithium Batteries,Asia,Lithium Batteries_Asia,60,248,273.6,5,5,4,0
P133,AI Chips,South America,AI Chips_South America,87,505,486.23,5,5,4,0
P134,AI Chips,Asia,AI Chips_Asia,7,300,246.4,3,3,5,0
P135,Lithium Batteries,South America,Lithium Batteries_South America,18,124,379.49,3,5,4,0
P136,Semiconductors,Asia,Semiconductors_Asia,53,916,442.23,5,4,4,0
P137,Pharma APIs,Africa,Pharma APIs_Africa,86,875,461.88,4,5,4,0
P138,AI Chips,Asia,AI Chips_Asia,53,367,471.01,4,4,4,0
P139,Pharma APIs,Africa,Pharma APIs_Africa,13,893,477.57,5,5,4,0
P140,Lithium Batteries,Africa,Lithium Batteries_Africa,24,926,234.58,4,5,4,0
P141,Semiconductors,Asia,Semiconductors_Asia,43,258,211.1,5,5,5,0
P142,Semiconductors,Asia,Semiconductors_Asia,31,463,417.43,4,5,4,0
P143,Lithium Batteries,Africa,Lithium Batteries_Africa,40,525,465.79,5,4,5,0
P144,AI Chips,Africa,AI Chips_Africa,35,373,255.64,5,4,5,0
P145,AI Chips,Africa,AI Chips_Africa,36,847,211.28,3,4,4,0
P146,Lithium Batteries,Asia,Lithium Batteries_Asia,74,676,356.76,4,4,5,0
P147,AI Chips,Asia,AI Chips_Asia,74,804,212.63,5,3,4,0
P148,Pharma APIs,Africa,Pharma APIs_Africa,68,479,439.4,4,5,5,0
P149,Lithium Batteries,Asia,Lithium Batteries_Asia,80,871,423.01,5,4,4,0
P150,Semiconductors,South America,Semiconductors_South America,60,852,266.15,4,3,5,0
P151,Semiconductors,Africa,Semiconductors_Africa,56,119,355.48,4,5,5,0
P152,AI Chips,Asia,AI Chips_Asia,79,259,246.17,5,3,4,0
P153,Pharma APIs,Asia,Pharma APIs_Asia,31,716,227.45,4,5,5,0
P154,AI Chips,Africa,AI Chips_Africa,44,139,442.85,5,5,4,0
P155,Pharma APIs,Asia,Pharma APIs_Asia,87,553,214.64,3,3,4,0
P156,AI Chips,South America,AI Chips_South America,39,448,344.18,5,3,4,0
P157,AI Chips,Asia,AI Chips_Asia,51,191,460.45,4,5,4,0
P158,Lithium Batteries,Asia,Lithium Batteries_Asia,64,766,231.75,5,4,5,0
P159,Lithium Batteries,South America,Lithium Batteries_South America,88,493,447.75,5,5,5,0
P160,Pharma APIs,Asia,Pharma APIs_Asia,23,623,426.99,5,5,4,0
P161,Pharma APIs,South America,Pharma APIs_South America,77,955,390.2,5,5,4,0
P162,AI Chips,Asia,AI Chips_Asia,74,511,452.04,3,5,5,0
P163,Pharma APIs,South America,Pharma APIs_South America,71,830,220.35,4,5,5,0
P164,AI Chips,Asia,AI Chips_Asia,58,405,213.72,5,5,5,0
P165,Lithium Batteries,Africa,Lithium Batteries_Africa,32,132,219.69,5,4,5,0
P166,AI Chips,Africa,AI Chips_Africa,35,198,499.14,5,4,4,0
P167,Semiconductors,Africa,Semiconductors_Africa,62,183,224.71,4,5,5,0
P168,Pharma APIs,Africa,Pharma APIs_Africa,9,968,472.86,3,3,4,0
P169,Semiconductors,Asia,Semiconductors_Asia,21,626,468.23,3,5,5,0
P170,Pharma APIs,Asia,Pharma APIs_Asia,52,529,490.46,5,5,4,0
P171,AI Chips,Africa,AI Chips_Africa,31,792,387.87,5,5,5,0
P172,AI Chips,South America,AI Chips_South America,8,335,237.56,4,5,5,0
P173,Pharma APIs,South America,Pharma APIs_South America,44,820,495.31,5,4,5,0
P174,Pharma APIs,South America,Pharma APIs_South America,23,201,427.12,5,3,4,0
P175,Pharma APIs,Asia,Pharma APIs_Asia,8,691,242.75,4,5,5,0
P176,Lithium Batteries,Africa,Lithium Batteries_Africa,52,688,305.19,4,4,5,0
P177,AI Chips,Africa,AI Chips_Africa,12,986,260.05,4,5,5,0
P178,Lithium Batteries,South America,Lithium Batteries_South America,13,515,215.59,5,4,4,0
P179,Semiconductors,Africa,Semiconductors_Africa,66,413,364.28,5,4,5,0
P180,AI Chips,Asia,AI Chips_Asia,25,111,417.45,4,5,4,0
P181,Semiconductors,Africa,Semiconductors_Africa,24,832,423.28,5,5,4,0
P182,Semiconductors,South America,Semiconductors_South America,67,972,498.9,5,5,4,0
P183,Lithium Batteries,Africa,Lithium Batteries_Africa,30,431,261.07,5,3,4,0
P184,Pharma APIs,South America,Pharma APIs_South America,42,481,420.61,3,5,5,0
P185,AI Chips,South America,AI Chips_South America,64,677,346,5,5,4,0
P186,AI Chips,Asia,AI Chips_Asia,14,629,315.15,5,5,5,0
P187,Pharma APIs,Asia,Pharma APIs_Asia,47,625,253.9,4,5,5,0
P188,AI Chips,South America,AI Chips_South America,23,113,321.51,5,5,5,0
P189,Semiconductors,Asia,Semiconductors_Asia,53,262,319.71,3,5,4,0
P190,Semiconductors,South America,Semiconductors_South America,7,369,222.05,4,4,5,0
P191,Lithium Batteries,Asia,Lithium Batteries_Asia,53,612,385.14,5,4,4,0
P192,Lithium Batteries,Africa,Lithium Batteries_Africa,67,731,434.54,5,4,5,0
P193,Pharma APIs,Asia,Pharma APIs_Asia,41,610,217.13,4,5,4,0
P194,AI Chips,South America,AI Chips_South America,49,260,226.57,3,4,4,0
P195,AI Chips,Africa,AI Chips_Africa,29,284,391.74,5,4,4,0
P196,Pharma APIs,South America,Pharma APIs_South America,14,737,237.72,5,5,4,0
P197,AI Chips,Africa,AI Chips_Africa,40,768,419.25,4,5,5,0
P198,Lithium Batteries,South America,Lithium Batteries_South America,82,513,483.38,5,3,5,0
P199,Semiconductors,South America,Semiconductors_South America,68,900,406.86,4,3,4,0
P200,Pharma APIs,Asia,Pharma APIs_Asia,83,674,381.49,4,4,4,0
P201,Semiconductors,South America,Semiconductors_South America,88,480,463.55,5,4,5,0
P202,Lithium Batteries,South America,Lithium Batteries_South America,21,430,330.67,5,3,4,0
P203,Lithium Batteries,Asia,Lithium Batteries_Asia,50,927,318.85,4,5,4,0
P204,AI Chips,South America,AI Chips_South America,32,721,381.03,4,5,5,0
P205,Pharma APIs,Asia,Pharma APIs_Asia,85,728,343.75,5,4,4,0
P206,Pharma APIs,Africa,Pharma APIs_Africa,27,442,318.31,5,3,5,0
P207,Semiconductors,Africa,Semiconductors_Africa,74,216,469.01,5,5,5,0
P208,Lithium Batteries,Asia,Lithium Batteries_Asia,35,433,258.37,4,5,4,0
P209,Semiconductors,South America,Semiconductors_South America,10,205,374.28,4,3,5,0
P210,AI Chips,Asia,AI Chips_Asia,69,450,254.34,5,5,5,0
P211,Pharma APIs,Africa,Pharma APIs_Africa,50,135,255.57,4,4,5,0
P212,Pharma APIs,Asia,Pharma APIs_Asia,32,240,233.69,4,4,4,0
P213,Lithium Batteries,Asia,Lithium Batteries_Asia,43,732,252.43,4,5,4,0
P214,Pharma APIs,South America,Pharma APIs_South America,61,159,446.78,5,5,4,0
P215,AI Chips,Asia,AI Chips_Asia,54,207,270.57,3,4,5,0
P216,Lithium Batteries,South America,Lithium Batteries_South America,63,259,382.13,3,3,4,0
P217,AI Chips,South America,AI Chips_South America,45,362,282.36,4,4,4,0
P218,Lithium Batteries,South America,Lithium Batteries_South America,38,799,497.38,4,4,5,0
P219,Semiconductors,Asia,Semiconductors_Asia,76,840,279.47,3,5,4,0
P220,Lithium Batteries,Africa,Lithium Batteries_Africa,78,927,332.72,3,5,5,0
P221,AI Chips,South America,AI Chips_South America,87,157,269.25,5,5,4,0
P222,Semiconductors,Asia,Semiconductors_Asia,37,363,339.56,4,3,5,0
P223,Semiconductors,Asia,Semiconductors_Asia,29,545,360.75,5,4,5,0
P224,Pharma APIs,Asia,Pharma APIs_Asia,76,971,206.01,4,4,5,0
P225,AI Chips,South America,AI Chips_South America,20,260,426.58,5,4,4,0
P226,Pharma APIs,Africa,Pharma APIs_Africa,71,677,278.93,3,3,4,0
P227,Semiconductors,South America,Semiconductors_South America,49,765,283.91,5,5,5,0
P228,Semiconductors,South America,Semiconductors_South America,51,589,455.43,5,5,5,0
P229,Semiconductors,Africa,Semiconductors_Africa,21,561,359.74,5,4,5,0
P230,Lithium Batteries,South America,Lithium Batteries_South America,31,565,246.14,3,5,5,0
P231,Lithium Batteries,South America,Lithium Batteries_South America,58,881,476.83,5,3,4,0
P232,Semiconductors,Asia,Semiconductors_Asia,85,752,447.56,4,3,4,0
P233,Pharma APIs,Africa,Pharma APIs_Africa,66,227,433.02,4,5,5,0
P234,Semiconductors,Africa,Semiconductors_Africa,11,353,264.81,5,5,5,0
P235,Semiconductors,Africa,Semiconductors_Africa,89,481,263.53,5,4,4,0
P236,Lithium Batteries,Asia,Lithium Batteries_Asia,58,289,236.42,5,3,5,0
P237,Lithium Batteries,Africa,Lithium Batteries_Africa,13,330,358.11,5,4,5,0
P238,Semiconductors,South America,Semiconductors_South America,68,840,448.26,5,5,4,0
P239,Semiconductors,Africa,Semiconductors_Africa,19,760,437.1,3,4,5,0
P240,Lithium Batteries,Asia,Lithium Batteries_Asia,66,792,388.79,5,4,5,0
P241,Semiconductors,South America,Semiconductors_South America,58,282,453.31,4,5,4,0
P242,Lithium Batteries,Asia,Lithium Batteries_Asia,7,496,435.5,4,4,4,0
P243,AI Chips,Asia,AI Chips_Asia,40,109,276.4,5,5,5,0
P244,Pharma APIs,Asia,Pharma APIs_Asia,38,178,391,5,4,4,0
P245,Pharma APIs,Africa,Pharma APIs_Africa,57,944,404.07,3,3,5,0
P246,Pharma APIs,Africa,Pharma APIs_Africa,58,247,210.67,4,5,4,0
P247,Semiconductors,Asia,Semiconductors_Asia,14,662,435.15,4,4,4,0
P248,Pharma APIs,Asia,Pharma APIs_Asia,85,467,224.79,4,5,5,0
P249,AI Chips,Asia,AI Chips_Asia,68,935,276.62,4,5,5,0
P250,Semiconductors,South America,Semiconductors_South America,38,751,439.61,4,4,4,0
P251,Customized Valves,Asia,Customized Valves_Asia,79,275,223.3,5,3,3,0
P252,Rare Earth Metals,Europe,Rare Earth Metals_Europe,52,163,210.02,4,2,4,0
P253,Rare Earth Metals,Asia,Rare Earth Metals_Asia,24,81,157.18,4,2,4,0
P254,Rare Earth Metals,Asia,Rare Earth Metals_Asia,28,441,192.11,5,3,4,0
P255,Customized Valves,Asia,Customized Valves_Asia,56,318,207.91,5,3,4,0
P256,Customized Valves,Asia,Customized Valves_Asia,62,93,130.14,3,1,3,0
P257,Customized Valves,Asia,Customized Valves_Asia,14,462,213,3,1,4,0
P258,Specialty Gases,Europe,Specialty Gases_Europe,16,413,262.35,5,2,3,0
P259,Rare Earth Metals,Asia,Rare Earth Metals_Asia,64,460,223.2,4,2,4,0
P260,Specialty Gases,Europe,Specialty Gases_Europe,76,170,102.21,5,2,4,0
P261,Catalysts,Europe,Catalysts_Europe,32,160,124.94,4,2,3,0
P262,Rare Earth Metals,Europe,Rare Earth Metals_Europe,26,408,100.38,4,1,3,0
P263,Rare Earth Metals,Europe,Rare Earth Metals_Europe,10,63,196.19,4,2,3,0
P264,Catalysts,Europe,Catalysts_Europe,69,131,235.29,5,1,3,0
P265,Specialty Gases,Asia,Specialty Gases_Asia,54,125,239.08,5,3,4,0
P266,Rare Earth Metals,Europe,Rare Earth Metals_Europe,53,232,165.64,4,3,3,0
P267,Customized Valves,Europe,Customized Valves_Europe,21,210,159.89,5,3,3,0
P268,Specialty Gases,Asia,Specialty Gases_Asia,16,408,249.44,3,1,3,0
P269,Specialty Gases,Europe,Specialty Gases_Europe,57,399,240.05,3,2,4,0
P270,Rare Earth Metals,Europe,Rare Earth Metals_Europe,27,459,270.55,3,1,3,0
P271,Specialty Gases,Asia,Specialty Gases_Asia,7,139,241.2,5,2,4,0
P272,Catalysts,Europe,Catalysts_Europe,30,231,253.1,3,3,4,0
P273,Rare Earth Metals,Europe,Rare Earth Metals_Europe,61,413,113.79,5,2,4,0
P274,Catalysts,Asia,Catalysts_Asia,50,449,294.97,4,2,4,0
P275,Rare Earth Metals,Asia,Rare Earth Metals_Asia,39,133,106.72,3,2,4,0
P276,Customized Valves,Europe,Customized Valves_Europe,27,209,279.97,5,3,4,0
P277,Specialty Gases,Asia,Specialty Gases_Asia,9,191,257.54,5,1,3,0
P278,Customized Valves,Europe,Customized Valves_Europe,47,452,213.07,4,1,3,0
P279,Rare Earth Metals,Asia,Rare Earth Metals_Asia,34,376,145.06,4,1,4,0
P280,Specialty Gases,Europe,Specialty Gases_Europe,71,226,258.34,4,1,3,0
P281,Specialty Gases,Europe,Specialty Gases_Europe,45,161,289.14,5,1,3,0
P282,Specialty Gases,Asia,Specialty Gases_Asia,55,343,257.39,5,3,4,0
P283,Catalysts,Europe,Catalysts_Europe,85,203,274.43,5,2,3,0
P284,Specialty Gases,Europe,Specialty Gases_Europe,69,430,151.1,5,1,3,0
P285,Specialty Gases,Asia,Specialty Gases_Asia,58,93,192.79,4,3,3,0
P286,Customized Valves,Europe,Customized Valves_Europe,42,452,176.08,4,1,3,0
P287,Rare Earth Metals,Europe,Rare Earth Metals_Europe,66,96,259.58,4,2,3,0
P288,Catalysts,Asia,Catalysts_Asia,46,385,133.21,5,3,3,0
P289,Specialty Gases,Europe,Specialty Gases_Europe,10,57,140.4,5,1,3,0
P290,Specialty Gases,Europe,Specialty Gases_Europe,69,81,116.69,5,1,3,0
P291,Rare Earth Metals,Europe,Rare Earth Metals_Europe,65,318,233.58,4,2,4,0
P292,Customized Valves,Europe,Customized Valves_Europe,11,180,237.37,5,1,3,0
P293,Customized Valves,Asia,Customized Valves_Asia,72,421,271.64,3,3,4,0
P294,Customized Valves,Europe,Customized Valves_Europe,27,265,162.81,5,2,4,0
P295,Catalysts,Asia,Catalysts_Asia,64,212,120.13,5,2,4,0
P296,Customized Valves,Asia,Customized Valves_Asia,41,199,224.19,4,2,3,0
P297,Rare Earth Metals,Europe,Rare Earth Metals_Europe,76,115,235.24,5,2,3,0
P298,Rare Earth Metals,Asia,Rare Earth Metals_Asia,53,296,298.35,5,1,3,0
P299,Specialty Gases,Europe,Specialty Gases_Europe,45,362,113.7,4,1,3,0
P300,Rare Earth Metals,Asia,Rare Earth Metals_Asia,65,259,233,5,3,3,0
P301,Customized Valves,Europe,Customized Valves_Europe,36,191,175.9,5,3,4,0
P302,Customized Valves,Europe,Customized Valves_Europe,28,330,184.51,5,2,4,0
P303,Catalysts,Europe,Catalysts_Europe,84,436,294.56,3,2,4,0
P304,Customized Valves,Europe,Customized Valves_Europe,59,170,225.65,4,1,4,0
P305,Rare Earth Metals,Europe,Rare Earth Metals_Europe,81,314,152.66,4,2,4,0
P306,Rare Earth Metals,Europe,Rare Earth Metals_Europe,47,271,159.98,4,1,3,0
P307,Catalysts,Europe,Catalysts_Europe,70,111,115.79,5,2,3,0
P308,Specialty Gases,Asia,Specialty Gases_Asia,79,374,204.29,4,1,4,0
P309,Rare Earth Metals,Asia,Rare Earth Metals_Asia,46,265,273.71,5,3,4,0
P310,Catalysts,Europe,Catalysts_Europe,27,64,192.89,4,2,3,0
P311,Customized Valves,Europe,Customized Valves_Europe,73,228,257.76,5,1,4,0
P312,Specialty Gases,Europe,Specialty Gases_Europe,12,396,154.31,5,2,3,0
P313,Specialty Gases,Europe,Specialty Gases_Europe,71,317,172.37,5,2,4,0
P314,Rare Earth Metals,Asia,Rare Earth Metals_Asia,67,473,196.41,3,1,4,0
P315,Specialty Gases,Asia,Specialty Gases_Asia,55,185,109.9,4,3,3,0
P316,Catalysts,Asia,Catalysts_Asia,23,431,158.7,4,1,3,0
P317,Catalysts,Europe,Catalysts_Europe,25,232,275.97,5,1,3,0
P318,Customized Valves,Europe,Customized Valves_Europe,18,50,154.95,3,1,4,0
P319,Rare Earth Metals,Europe,Rare Earth Metals_Europe,52,152,264.76,4,2,4,0
P320,Customized Valves,Europe,Customized Valves_Europe,39,226,265.92,5,1,3,0
P321,Customized Valves,Asia,Customized Valves_Asia,21,288,118.46,4,2,4,0
P322,Rare Earth Metals,Asia,Rare Earth Metals_Asia,20,154,233.71,3,2,4,0
P323,Specialty Gases,Europe,Specialty Gases_Europe,8,88,123.15,5,1,4,0
P324,Rare Earth Metals,Europe,Rare Earth Metals_Europe,71,345,206.79,5,2,4,0
P325,Customized Valves,Asia,Customized Valves_Asia,30,262,108.75,3,2,4,0
P326,Rare Earth Metals,Asia,Rare Earth Metals_Asia,59,156,177.48,5,1,4,0
P327,Specialty Gases,Europe,Specialty Gases_Europe,69,403,189.28,5,1,4,0
P328,Customized Valves,Asia,Customized Valves_Asia,62,362,216.44,5,1,4,0
P329,Catalysts,Europe,Catalysts_Europe,80,105,128.52,5,1,3,0
